Id,Text,IsRetweet,IsSelfMentioned,Retweets#,Favorites#,Hashtags#,Medias#,Mentions#,SenderId,SenderAccountYears,SenderFavorites#,SenderFollowings#,SenderFollowers#,SenderStatues#,SenderLocation,Emojis#,Punctuations#,UpperCaseLetter#,Letter#,Symbols#,Words#,TWords#,UWords#,SlangWords#,AvgWordLength,IsCyberbullying
303946296518119425,"saglikciderki antidepresan kullanımının sağlık çalışanları arasında ne kadar yaygın olduğundan haberdar mısınız",False,False,14,2,1,0,0,314863372,8,8808,1835,23778,62990,çarşambasamsun,0,2,3,100,0,12,1,0,0,8,False
329691753382825984,"var böyle dönemler ve hiçbir şey inşaat ama hızlı bir şekilde çok anket baş bilmeniz gerekir barcelona futbol kalitesinde bir modeldir",False,False,19074,23520,0,0,0,972675602,7,15,69,143306,498,bursa,0,0,5,114,0,21,1,1,0,5,False
343532030119772160,"uyumuyorum cunku uyunacak bir sey yok",False,False,4089,8165,0,0,0,1477866582,6,1112,867,1079853,2447,istanbul,0,1,1,32,0,6,1,0,0,5,False
358388118770036736,"hasret yarım ölüm sonra açarsın bi ahmet şafak huzur huzur huzur",False,False,1,1,0,0,1,385516556,8,2638,94,93,3151,türkiye,0,5,6,54,0,11,2,1,0,4,False
396410957368664064,"her kaybedişte yeniden başlarsın daha da güçlenerek başlarsın ve daha da hızlanarak dibe batarsın en dibe batarsın",False,False,3521,4170,0,0,0,76762055,10,8,73,471979,1238,istanbulturkey,0,4,0,98,0,17,0,0,0,5,False
396957129816678400,"iyi dogdunn belalimm",False,False,2,0,0,0,1,604350459,7,1966,150,178,6122,izmir,0,2,0,22,0,3,0,0,0,7,False
435761475777732608,"ben o duvarlara çarpa çarpa nasıl tuttum",False,False,1,5,0,0,1,165594822,9,1803,559,310840,2664,istanbul,0,1,0,34,0,7,0,0,0,4,False
468735487717691392,"soma da akhisar köftecisi vedat ın yeri ve aydın lokantası misafirperverlikleri için sonsuz teşekkür",False,False,10,36,0,1,0,60668913,10,88,606,1214852,13221,turkey,0,4,3,87,0,14,3,0,0,6,False
476814340679798786,"gta daki striptiz yapan inşaat işçisi kadar gereksizsin amk",False,False,1,1,0,0,0,1013737808,7,747,125,1985,3276,türkiye,0,1,3,51,0,9,1,1,1,5,True
492308708638994432,"beşiktaş pedro franco forması sipariş eden taraftara falcao forması gönderdi",False,False,12,4,0,1,0,117730774,9,0,1,16174,42546,istanbul,0,2,4,67,0,10,4,0,0,6,False
505254361614663680,"rostov td bozoviç güçlü bir takım değildi rakibimiz ancak gördük ki cardozo ve yeni transferlerle başka bir trabzonspor oluşturuldu",False,False,6,6,0,0,0,71108476,10,2771,2835,1288628,339867,turkey,0,2,7,113,0,19,6,1,0,5,False
508705108180205568,"ali atay kocaelisin sen bizim canımız 2014 17 ağustos gölcük marmara aracılığıyla",False,False,1,0,0,0,1,1492916664,6,23940,417,433,4361,ankara,0,7,9,70,0,12,9,0,0,5,False
516699605199630336,"bizi üzen insanlara karşı hiç bilmedikleri öyle güzel düşüncelerimiz vardı ki bilseler içleri ezilirdi bu gerzek olurdu sanırım ya",False,False,614,2137,0,0,0,168646867,9,14467,276,33864,17592,ankara,0,1,0,115,0,19,0,0,1,6,False
560167285923778561,"dünyada bi klipte kadın görünce sinirlenen başka bi dinleyici kitlesi yoktur herhalde",False,False,73,784,0,0,0,272935234,8,109,50,86126,324,eskişehir,0,1,1,74,0,12,1,0,0,6,False
565255693666889728,"yatabare matabare sivasspor böyle koyar götebare",False,False,487,626,0,0,0,30567448,10,1272,28,8885,4574,sivas,0,0,2,43,0,6,2,0,0,7,True
565615593077100545,"alakasız yerlerde arkadaşlarıma türkçe rap senin yüzünden gelişmiyo diyom çok eğlenceli oluyo evde deneyin",False,False,259,1332,0,0,0,272935234,8,109,50,86126,324,eskişehir,0,2,1,93,0,14,1,0,0,6,False
570633970494234624,"röportaj sırasında ezan okunması üzerine aziz yıldırım aziz allah",False,False,2921,5610,0,0,0,71108476,10,2771,2835,1288628,339867,turkey,0,6,5,57,0,9,5,0,0,6,False
586543108772462592,"küfür eden kız itici değil samimidir",False,False,5,78,0,0,0,2923300625,5,190173,5613,48036,8741,adana,0,2,1,31,0,6,1,0,0,5,False
589087185103671297,"acı haberi alan yörükhanlar derinden sarsılır kaderiminyazıldığıgün",False,False,44,166,1,1,1,128489696,9,233,70,436455,5517,istanbul,0,3,5,61,0,7,3,0,0,8,False
602545492090875904,"savunma çaresiz kaleci çaresiz herkes çaresiz wesley sahnede en iyi yaptığı işi yaptı tribünleri yıktı wesley sneijder",False,False,4814,7415,0,0,0,23186079,10,67,71,8631496,72643,istanbul,0,9,4,102,0,17,4,0,0,6,False
602580358081728512,"türkiye nin yenilmez armada olarak anılan takımı adana demirspor sutopu takımıdır17 yıl hiç yenilmeden 22kez üst üste şampiyonluğu vardır",False,False,112,80,0,0,0,3032937727,4,229,11,16417,1741,turkey,0,3,6,119,0,19,6,0,0,6,False
603166491698139136,"sizin hayallerinizin bittiği yerde bizim gerzek başlar inanmayındemistik",False,False,5321,8329,1,1,0,23186079,10,67,71,8631496,72643,istanbul,0,5,57,72,0,8,8,7,1,9,False
620245017840517121,"birisi bizim kültürümüzde böyle bişi yok diyosa ordan kaçın o yobaz kendi sikik geleneksel yetişme tarzını tüm topluma ait sanıyodur",False,False,321,1854,0,0,0,272935234,8,109,50,86126,324,eskişehir,0,2,1,116,0,20,1,0,2,5,True
620363272173318145,"bir müslümana ömrünün sonuna kadar anlamadan kur ân okumak yakışmaz",False,False,4924,11318,0,0,0,229205329,8,1,6,199120,3950,samsun,0,3,2,58,0,10,2,0,0,5,False
632935184476827648,"galatasaray a atılmış her gol güzeldir",False,False,137,322,0,0,0,233468158,8,18820,463,34854,60302,devlet,0,4,1,33,0,6,1,0,0,5,False
645532939204325376,"bana susma bir şeyler söyle diyenlere yüz kere söyledim bizim için milletvekilliği değil ülke ülkü inandiğimiz değerler esastır durum budur",False,False,716,1068,0,0,0,478100986,7,2101,752,237107,1081,türkiye,0,8,32,120,0,20,9,4,0,6,False
646821373059465221,"böğrümüze oturan öküz de kurban edelim inşallah",False,False,54,281,0,0,0,463222349,7,5018,1664,20801,6595,çengelköy,0,1,1,42,0,7,1,0,1,6,False
661116720707411969,"unuttuğum kimse yok silinip giden değerler var sadece önemsiz gördüğüm kimse yok önemini yitirenler var sadece",False,False,0,26,0,0,0,3417634581,4,10058,278,234,1560,türkiye,0,4,4,95,0,16,4,0,0,5,False
662227825039118340,"ben dün nerede isem bu günde oradayım benim kitabımda ihanet yazmaz hatadan ders almak ise ayrı bir konudur",False,False,377,819,0,0,0,478100986,7,2101,752,237107,1081,türkiye,0,4,3,90,0,18,3,0,0,5,False
669782072869957632,"önce yatırımını kendine yap ki diğerlerine de yardımın dokunsun oku akılderki",False,False,1,3,1,0,0,95956201,10,1476,9098,13448,18417,turkey,0,3,2,67,0,11,2,0,0,6,False
707270225847160832,"edis ten mesajınız var edis edisgorgulu edisfan highwayoutlet konser imzagünü",False,False,10,31,6,1,1,354274463,8,1576,0,6087,9605,türkiye,14,7,1,68,0,10,1,0,0,6,False
724622569480019968,"allah senin bazı planlarını yıkar planların seni yıkmasın diye",False,False,42,233,0,0,0,3221420718,4,334,47,17574,676,mersin,0,4,2,54,0,9,2,0,0,6,False
730450383861104640,"bayıldım",False,False,14,8,0,1,0,367378757,8,8886,1044,863,3483,kayseri,1,0,1,8,0,1,1,0,0,8,False
748653156301692929,"oy beni vurun",False,False,338,1185,0,1,0,1137658464,6,13525,759,37897,11893,ankara,0,0,0,11,0,3,0,0,0,3,False
750202433679294465,"günaydın bayram kahvaltılarının tadı başka oluyor gerzek",False,False,356,3765,0,1,0,215895987,9,16532,282,19677,13228,ankaraistanbul,0,2,1,53,0,7,1,0,1,7,False
750320411615850496,"insan aslında ev baklavasını değil annesini sever",False,False,170,1198,0,0,0,233468158,8,18820,463,34854,60302,devlet,0,1,0,43,0,7,0,0,0,6,False
750346293252423688,"bayram sabahı kınalı ellerimle tarardım umudun saçlarını avuçlarımdan öperdi huzur ömrü uzardı çocukluğumun bayramımız mübarek olsun",False,False,6,9,0,0,0,333250184,8,22412,7290,8778,10719,türkiye,0,4,5,117,0,16,5,0,0,7,False
751809674459119616,"tek hayali şu kareden ibaret olan insanları üzmeyin",False,False,262,1214,0,1,0,3980214983,4,99,20771,29267,1887,bursa,0,1,1,44,0,8,1,0,0,5,False
752220215795122177,"real madrid 23 yaşındaki lucas silva nın kalbindeki sorunlar nedeniyle futbolu bıraktığını açıkladı",False,False,41,234,0,1,0,71108476,10,2771,2835,1288628,339867,turkey,0,3,4,87,0,13,4,0,0,6,False
754065850215309313,"cumhurbaskanimiz halki meydana bekliyorum vatan sana canim feda",False,False,1,7,0,0,0,3228853961,4,31869,5278,7835,6566,vatan,0,2,8,56,0,8,8,0,0,7,False
757300570189336576,"durumu ne güzel özetlemiş milletçedestanyazdık canımtürkiyem",False,False,601,557,2,1,1,589655599,7,238335,2378,7859,145830,istanbulturkey,0,5,12,55,0,6,2,0,0,9,False
760860414615883776,"rasulullâh s a v şöyle buyurdu birbirinize kin tutmayınız hased etmeyiniz sırt dönmeyiniz ve ilginizi kesmeyiniz müslim birr 23",False,False,134,179,0,0,0,1671328860,6,212,56641,85092,12390,türkiye,0,13,4,109,0,19,4,0,0,5,False
764562176526913536,"ortada bir kupa varsa sadece arkanıza yaslanın ve galatasaray ı izleyin",False,False,20530,27954,0,0,0,23186079,10,67,71,8631496,72643,istanbul,0,3,2,61,0,11,2,0,0,5,False
775107701508628480,"sırf bayram diye küsler barışmasın yapılan kahpe unutulmasın",False,False,1220,4889,0,0,0,1103612496,6,2541,114,207664,4216,samsun,0,2,0,59,0,8,0,0,1,7,True
775212762997911552,"vegan kardeşlerim sizleri de unutmadık iyi bayramlar",False,False,9658,28328,0,1,0,1461284642,6,13793,257,2772,8289,adana,0,0,1,46,0,7,1,0,0,6,False
775233589877305344,"ayrımcılığı bölücülüğü reddediyoruz ölümüne kardeşlik birlik beraberlik huzurlunicebayramlara kurbanibadettir",False,False,298,458,2,1,0,302254341,8,57152,975,87005,11443,konya,0,2,12,101,0,9,9,0,0,11,False
777778021721833472,"twitterda bulunan çorumlulara ulaşmamız için bu twiti çorumlu yada çorumlu arkadaşı olan herkes rt lesin lütfen",False,False,571,1725,0,0,0,541047171,7,49743,329,12504,16935,çorum,0,2,11,96,0,16,6,1,0,6,False
789693818375376896,"ne götüm var be sikmek isteyenler gelsin",False,False,18,51,0,1,0,789691495544659968,3,0,151,875,30,antalya,0,0,1,34,0,7,1,0,0,4,True
800010631671934976,"götler bu kadar çok güvenme kalbinin sesini dinle unutma senin yarışın savaşın ve barışın kendinle mete murat",False,False,743,697,0,1,0,2739314100,5,39985,13691,14367,22259,eskişehir,6,9,6,96,4,17,6,0,1,5,False
810256588757987329,"soyadının bir harfini içki masasında kaybeden ünlüler 1 cemal süreya 2 emrah serbes 3 media markt",False,False,362,2613,0,0,0,111561347,9,61397,387,1911,53642,ankara,0,3,7,82,0,16,7,0,0,5,False
811875189713727488,"ne kadar anlatırsam anlatıyım kendime sakladığım acılarım var benim ağzına sağlık abim",False,False,36,78,0,1,1,3416464330,4,784,93,296,1583,yeraltı,0,3,0,75,0,12,0,0,0,6,False
819077674534576128,"her şey apaçık bulanık gören sensin lao tzu",False,False,1174,1300,0,1,0,2739314100,5,39985,13691,14367,22259,eskişehir,0,4,3,36,4,8,3,0,0,4,False
820350148454842368,"uzun lafın kısası",False,False,235,1352,0,1,0,1571865672,6,28,13,764411,8664,ankara,0,2,1,15,0,3,1,0,0,5,False
822930326934654976,"radyo 3 şafak kuşağı avrupa da birçok ülkede aynı anda yayınlanan euroradio notturno gece müziği prg zinciriyle 07 00 ye kadar birlikteyiz",False,False,6,11,0,1,0,2341769689,5,3731,116,6604,16877,ankara,0,7,8,117,0,22,8,0,0,5,False
825704970607611904,"bir milan terim hikayesi san siro baresi maldini beyefendiler masası mauro suma curva sud fatih terim",False,False,13,62,0,0,0,60334462,10,209,443,105673,39435,istanbul,0,7,15,86,0,16,15,0,0,5,False
825888818683342849,"abd suriye nin kuzeyinde güvenli bölge oluşturmaya karar verdi bu irak ın kuzeyindeki duruma benzer bir hal ve ülkemiz için çok tehlikeli",False,False,17,16,0,0,0,489769685,7,6199,15316,39228,273696,türkiye,0,4,5,116,0,22,3,1,0,5,False
830814128742756358,"coffee time 1800s kahve zamanı",False,False,19,65,2,1,0,2967462670,4,15806,22530,144737,12595,istanbul,0,5,4,26,0,5,4,0,0,5,False
831455887596384256,"cumhurbaşkanı mız ve başbakan ımız seferberlik çağrısı yaptı ama kamu kurum ve kuruluşları hala yerli malı almıyor",False,False,730,115,0,0,0,446074213,7,13,54,227,102,ankara,0,5,3,98,0,17,3,0,0,5,False
834130398338744321,"ben şiir bilmem bir yüreğimden geçeni bilirim bir de geçmeyeni",False,False,647,1356,0,0,0,4449889995,4,268127,10920,12718,1094,vatan,0,3,3,53,0,10,3,0,0,5,False
834308465950654464,"en güzel ilim marifetullahtır en güzel aşk muhabbetullahtır en güzel istek allah ın zat ıdır y başar",False,False,1152,1355,0,1,0,766717482170257409,3,81050,2170,1899,92217,türkiye,0,3,9,84,0,17,9,1,0,4,False
841362460007366657,"tweet atmamamın burda olmadığım anlamına gelmediği gibi seni seviyorum dememem de seni sevmediğim anlamına gelmiyor",False,False,0,118,0,0,0,3295474029,4,9761,2768,2830,2789,mezarlık,0,1,1,101,0,15,1,0,0,6,False
860597707727142921,"boşverin giden gitsin",False,False,4368,24194,0,1,0,2682706995,5,2493,0,74411,1622,yeşilçam,0,1,1,19,0,3,1,0,0,6,False
861473732585500672,"hayvanlara sevgi dogaya saygi her zaman",False,False,707,8501,0,0,0,246316102,8,3372,685,874929,8417,istanbulturkey,1,3,2,34,0,6,2,0,0,5,False
867154585311477761,"allahım yeter tamam birazcık da ayranım dökülsün lütfen",False,False,0,7,0,0,0,2173587030,6,9609,99,130,3812,eskişehirturkey,0,1,1,48,0,8,1,0,0,6,False
876244989285720064,"geceyi güneş siler beni başkalarına çevrimiçi oluşun",False,False,11,184,0,0,0,2873863747,5,186855,8758,21805,8453,düzce,0,0,0,46,0,7,0,0,0,6,False
882142039453859840,"beni bilen bilir bilmeyende kendi gibi bilir bir lafa bakarım laf mı diye birde söyleyene bakarım adam mı diye lafımanlayana",False,False,426,725,1,1,0,3096296031,4,78807,10133,10311,79130,türkiye,0,10,6,105,0,20,5,0,0,5,False
886972980198342657,"yahudi profesör finkelstein filistinlilere yaptıkları zulmü kendi acılarıyla meşrulaştıran israillilerin ikiyüzlülüklerini yüzlerine vurdu",False,False,3835,5091,0,1,0,4913956535,3,15,18,36628,12134,türkiye,0,2,5,126,0,13,5,0,0,9,False
889588309013430273,"regl öncesi regl döneminde",False,False,1,0,0,2,0,394776381,8,10796,348,492,2829,karşıyaka,0,1,0,23,0,4,0,0,0,5,False
891729879393161216,"hepimiz hayallerimizin kurbanıyız benim adım niye nazım senin adın piraye abinin mehmet niye gönül yarası 2005 yavuz turgul",False,False,218,722,0,1,0,3221944361,4,618,177,57195,1576,türkiye,0,11,10,106,0,18,10,0,0,5,False
892096685622603777,"yaşamak için bir sebep varsa oda anne ve baba sevgisidir",False,False,44,5023,0,1,0,2915963523,5,1,25948,32348,22683,eskişehir,1,1,1,47,1,10,1,0,0,4,False
894529375881789440,"öğrettiler",False,False,47,119,0,1,0,3355017370,4,11100,13367,14366,1619,mut,0,3,1,10,0,1,1,0,0,10,False
894930295123845120,"anlamıyorsunuz anlasanız gel çay içelim değil otur rakı içelim derdiniz",False,False,10,188,0,0,0,889278577778339840,2,19418,149,362,435,osmaniye,0,1,1,62,0,10,1,0,0,6,False
894980783512879106,"bursa teknik üniversitesi kazanıp kampüsü bulamayanları şimdiden görür gibiyim metrodan inip dağa doğru yürüyün arkadaşlar dağa doğru",False,False,2,18,0,0,0,3795469696,4,30773,107,111,490,bursa,0,4,3,117,0,17,3,0,0,6,False
896859300760629249,"kimse için yıkmam sandığım duvarlarıma bir gün ellerin değdi tuz buz oldu heyecan içerir",False,False,172,1051,0,0,0,404819932,8,26263,283,75658,16148,istanbul,0,1,1,75,0,14,1,0,0,5,False
905532021430259714,"dindar olduğu için artık ahlaka ihtiyacı kalmadığını düşünenlerin ve rakı içtiği için kendini aydın sananların arasında delirmek üzereyiz",False,False,29086,94126,0,0,0,69167515,10,5487,206,193029,8095,türkiye,0,3,0,120,0,18,0,0,0,6,False
909536215749332993,"allah ne muradınız varsa vermesin gönül bu hayrı şerri bilmez ister hayırlısı neyse onu versin",False,False,7,175,0,0,0,2718197782,5,268143,11651,11574,1604,ankara,0,7,4,80,0,15,4,0,0,5,False
909536664200077313,"cümleyi düzgün kurmak mühim değil de sanırım kurulan cümlede düzgün durmak çok mühim",False,False,8,166,0,0,0,2718197782,5,268143,11651,11574,1604,ankara,0,2,5,72,0,13,5,0,0,5,False
910613300878151683,"belkiler umut olsa da keşkeler çok can yakıyor",False,False,7,169,0,0,0,2718197782,5,268143,11651,11574,1604,ankara,0,3,2,39,0,8,2,0,0,4,False
911031082258255872,"nasıldır bilir misin biri kibrit diğeri mum yananda biter yakanda biter",False,False,12,200,0,0,0,2718197782,5,268143,11651,11574,1604,ankara,0,5,5,61,0,11,5,0,0,5,False
911997159582650368,"peygamberlere allahın vahyini getiren dînini öğreten rûhülkudüs cebrâil mesihtir bütün peygamberler ve ümmetleri gerzek o nun ümmetidir",False,False,27,30,0,0,0,3292161463,4,1842,25,9741,2050,düzce,0,6,8,121,0,17,8,1,1,7,False
913389522620174337,"ne tamamlandı ne de tükendi devam eden bir yaşamın biyografisindeyim refik er",False,False,407,1635,0,2,0,148735179,9,351166,5560,5716,3093,istanbul,0,2,3,66,0,12,3,0,0,5,False
913893503549235200,"eylemsellik eylemsellik ve ertelenmiş bütün eylemler",False,False,1,4,0,0,0,1345726230,6,73274,260,1629,68845,tarsus,0,4,1,47,0,6,1,0,0,7,False
914903110153359360,"sabah gönderilen günaydın msjı sadece günaydın anlamına gelmez sabah uyandım ve seni düşünüyorum anlamına da gelir",False,False,20,238,0,0,0,895277029704302592,2,14836,3955,4667,859,çarşamba,0,7,2,99,0,16,2,0,0,6,False
914977217167417346,"bırı var hala c o k sevıyorum agzıma s cayım kendımın",False,False,5870,23348,0,0,0,280736094,8,20812,807,31589,47637,istanbul,21,10,3,43,0,11,3,3,0,3,False
914988800648138752,"azim çalışma mutluluk",False,False,1832,57185,0,0,0,4604138494,3,357,149,640701,1916,antalya,0,1,3,19,1,3,3,0,0,6,False
916224077668417536,"kadir mısıroğlu haklı diyenler rt protestoediyorum",False,False,121,74,1,1,0,1722180530,6,20083,36776,45174,82467,ankara,0,1,6,45,0,6,4,1,0,7,False
917866001181573120,"rakı masası nikah masası zibidi herkesle oturulmaz",False,False,6,68,0,0,0,701396694081085440,3,12996,411,518,2416,mersin,0,1,1,45,0,7,1,0,1,6,False
918880716934598657,"bir yerde okudum bana odanın ışığı kapalıymış gibi hissettirme ne olur diyordu ne nahif istek ama",False,False,757,3318,0,0,0,1571865672,6,28,13,764411,8664,ankara,0,5,0,82,0,16,0,0,0,5,False
921748708135489537,"18 istemsiz bir hamilelikte verdiğimiz kararlar başkaları tarafından yargılanma riski taşır",False,False,5,26,0,0,0,68723264,10,6747,291,2181,15413,istanbul,0,2,1,81,0,11,1,0,0,7,False
921749647949008897,"20 cinsiyetçilik hakkında konuştuğumuzda duyarcılıkla her şeyden şikayet etmekle suçlanırız",False,False,10,55,0,0,0,68723264,10,6747,291,2181,15413,istanbul,0,4,1,82,0,10,1,0,0,8,False
923993981566013440,"allah ın cc ayetlerini okumaktan daha onurlu bir vazife ve bu yolda bedel ödemekten daha büyük bir şeref tanımıyorum",False,False,15996,46345,0,0,0,1102199180,6,826,134,666477,13271,türkiye,0,4,1,98,0,19,1,0,0,5,False
924531835664728064,"pazar akşamı bize eşlik etmek isteyen dostlar dan dm bekliyoruz",False,False,23,229,0,1,0,875712222042959872,2,563,1096,6057,191,manavgat,0,0,1,54,0,10,1,0,0,5,False
925080745365983232,"marius sumudica deplasmanda fenerbahçe ile 3 3 berabere kaldığımızda üzülmemizi mi bekliyordunuz anlamıyorum gol sevinci hakkında",False,False,13,88,0,0,0,71108476,10,2771,2835,1288628,339867,turkey,0,7,5,114,0,16,5,0,0,7,False
928276761602912262,"keşke dans etmek bilmek ben",False,False,41,2720,0,0,0,4604138494,3,357,149,640701,1916,antalya,0,0,1,23,0,5,1,0,0,4,False
928276942499008513,"twitter a da canlı yayın gelse keşke canlı canlı yazışırız",False,False,46,3004,0,0,0,4604138494,3,357,149,640701,1916,antalya,0,0,1,49,0,10,1,0,0,4,False
928277501759180800,"i know english kınov diye okunmuyo salak",False,False,92,3686,0,0,0,4604138494,3,357,149,640701,1916,antalya,0,1,2,34,1,7,2,1,1,4,True
930131501655691264,"ne güzel sevgilileriniz var nerden buluyosunuz bunları",False,False,1,13,0,0,0,2198302706,6,66841,219,961,2866,bursa,0,0,1,48,0,7,1,0,0,6,False
939595482724290560,"dünyayı da dolaşsa kitaplarda devirse insan aradığı şeyi yine kendinde bulacaktır kendine yaptığı en içre yolculukta",False,False,1,7,0,0,0,2380912224,5,10318,212,268,2330,sakarya,0,3,2,101,0,16,2,0,0,6,False
939915990447648768,"selçuklu göçerlerinin dünyası m said polat selçuklu devletindeki göçerler fazla incelenen bir konu değil genelde siyasi tarihin gölgesi altında kalıyor bu çalışma bu yüzden önemli hayalettarihkitapları",False,False,6,23,1,1,1,725781069237260289,3,9868,192,13418,5863,türkiye,0,7,7,176,0,26,7,1,0,6,False
940635781605019648,"sondaki bakış mehmet banu",False,False,139,5159,0,1,0,4604138494,3,357,149,640701,1916,antalya,1,3,4,22,0,4,4,0,0,5,False
940837687837233152,"günaydın bursa",False,False,6,46,0,0,0,938362162518675457,2,14,118,3077,37,nilüfer,0,0,1,13,0,2,1,0,0,6,False
942786544934330369,"azerin sanatçı konuklarıyla birlikte abdurrahman kızılay anısına seslendiriyor altın hızma mülayim",False,False,22,61,0,1,0,158403137,9,112,73,68280,46078,ankara,0,5,6,88,0,11,6,0,0,8,False
943751095163260928,"genç kızı ofiste sikiyor freeporn sex officesex teen porn porno ofisteseks sikiş liseliifşa liseliçıtır liselikız liseliporno türksikiş türkseks amateursex amatör seks liseliazgın pussy secretariel webcamsex hiddencam webcamsex porno",False,False,81,213,23,1,0,298086168,8,179,102,1342,308,antalya,0,24,5,210,0,28,4,0,4,7,True
943942150462504966,"beyler masa aynı yeni oturanı iyi bilirsiniz sıfır deste kartları yeniden karıyoruz bol şans hepinize çünkü ihtiyacınız olacak",False,False,3669,8739,0,0,0,60334462,10,209,443,105673,39435,istanbul,0,13,3,109,0,18,3,0,0,6,False
943945186970951686,"burada kalmıştık hocam imparatoryuvasında",False,False,28735,81212,1,1,1,23186079,10,67,71,8631496,72643,istanbul,0,4,3,38,0,4,2,0,0,9,False
944051751715508224,"selamun aleyküm dostlar sabahınız hayr cumanız mübarek olsun tevazu sahibi ol ahlakî tavır takın doğruluğu temsil et eğri olmaktan sakın cuma dualarımız kalkan olsun bizlere şah damarından bile allah ım daha yakın sezai tuğla",False,False,16,73,0,1,0,908868639205490688,2,248621,4491,5435,29706,bursa,0,8,16,192,0,34,12,1,0,5,False
944350282707857409,"insan bir çok şeyden kaçabiliyor mesela bulunmak istemediği ortamlardan insanlardan ya da akla gelebilecek her şeyden tek bir şeyden kaçamıyor o da kendi düşüncelerinden kendi kendine sus yeter artık diyorsun o da ne susacağım sen sus diyor sen de susuyorsun",False,False,309,2739,0,0,0,700950868493991936,3,9968,377143,1237483,1070,sivas,0,11,5,219,0,40,5,0,0,5,False
946647740129398784,"insanları öyle bi yarı yolda bırakıyosunuz ki insan hayatının devamında her şey yarım kalacak korkusuyla yaşıyor",False,False,668,4256,0,0,0,404819932,8,26263,283,75658,16148,istanbul,0,0,0,97,0,16,0,0,0,6,False
949993850269028352,"sabaha karşı bir vakit deplasman otobüsleri yanaşacak şehrinize içinden inen adamların hayalleri çok büyük yakınnostalji",False,False,95,338,1,1,0,109094047,9,81,11,38966,60428,bursa,0,5,3,106,0,15,2,0,0,7,False
950066730059091969,"mesih allah ın aynası aynısı değil aynası yüce mevlâ nın aynısı aynada görülür gördüm",False,False,27,26,0,1,0,3292161463,4,1842,25,9741,2050,düzce,0,8,6,72,0,14,6,0,0,5,False
960786523292610560,"latince bilimsel adını ülkemizin tarihi coğrafyasından alan incir yani ficus carica karia dutu karia bölgesi bugün dalaman çayı ile izmir arasında kalan ülkemizin güneybatı bölgesinin adı",False,False,15,65,4,1,0,938294652364574720,2,10870,288,13821,19038,türkiye,0,7,6,162,1,26,6,0,0,6,False
964104996164919296,"astronotlar da sanıyor ki sadece onlar boşlukta",False,False,849,4551,0,0,0,565692415,7,12,14,514494,24304,ankara,0,1,1,41,0,7,1,0,0,5,False
